#,Lyrics,Title,Artist,Type,Conditional Lyric Entropy,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Acoustic Deviation (Antagonistic),Dance Deviation (Antagonistic),BPM Deviation (Antagonistic),Acoustic Deviation (Dionysitic),Dance Deviation (Dionysitic),BPM Deviation (Dionysitic),Acoustic Deviation (Doloristic),Dance Deviation (Doloristic),BPM Deviation (Doloristic),Acoustic Deviation (Stoiostatic),Dance Deviation (Stoiostatic),BPM Deviation (Stoiostatic),Energy Deviation (Antagonistic),Valence Deviation (Antagonistic),Energy Deviation (Dionysitic),Valence Deviation (Dionysitic),Energy Deviation (Doloristic),Valence Deviation (Doloristic),Energy Deviation (Stoiostatic),Valence Deviation (Stoiostatic),Original_Length,Gzip_Length,Bzip2_Length,Most_Compressed_Length,Compression_Ratio,Most_Compressed_Type,Lyric Valence,Lyric Arousal
177,"Saw you at the crack house
Didn't want you to come back out
Stand behind me physical
Lady love you, love me too
Meanwhile you don't understand
How hard it is to be a man
Take goodbye and never look back again
We only scratched the surface of this shit
You make me look like a jerk
I can't afford to go to work
Meanwhile being man of the week
Here today, gone today
You're such a fucking hypocrite
You have no soul to steal this shit
""Sign the check I need new shoes""
Hey fuck you!",!!!!!!!,The Roots,Antagonistic,1.65737411885443,2002-11-26,195,99,25,-2,81,0:25,0,0,225,5537,-4.25,-24.09,69.37,-12.64,-38.88,75.86,-30.43,-24.45,76.03,-30.31,-38.6,83.13,17.6139088729017,41.8345323741007,23.0106007067138,9.42402826855124,46.5661605206074,45.6182212581345,48.4938271604938,25.6851851851852,480,312,330,312,0.65,1,0.0974616378097699,0.3539627741098234
663,"I would die for you
I would die for you
I've been dying just to feel you by my side
To know that you're mine
I will cry for you
I will cry for you
I will wash away your pain with all my tears
And drown your fear

I will pray for you
I will pray for you
I will sell my soul for something pure and true
Someone like you

See your face every place that I walk in
Hear your voice every time I am talking
You will believe in me
And I will never be ignored

I will burn for you
Feel pain for you
I will twist the knife and bleed my aching heart
And tear it apart
I will lie for you
Beg and steal for you
I will crawl on hands and knees until you see
You're just like me

Violate all the love that I'm missing
Blow away all the pain that I'm living
You will believe in me
And I can never be ignored

I would die for you
I would kill for you
I would steal for you
I'd do time for you
I will wait for you
I'd make room for you
I'd sail ships for you
To be close to you
To be a part of you
'Cause I believe in you
I believe in you
I would die for you",#1 Crush,Garbage,Antagonistic,1.5946702614284,2007-01-01,94,65,64,-7,46,4:45,0,37,1101,1135,-4.25,14.91,-31.63,-12.64,0.119999999999997,-25.14,-30.43,14.55,-24.97,-30.31,0.399999999999999,-17.87,-16.3860911270983,6.83453237410072,-10.9893992932862,-25.5759717314488,12.5661605206074,10.6182212581345,14.4938271604938,-9.31481481481482,1040,447,481,447,0.4298076923076923,1,0.591855372730223,0.1147493760653892
1185,"I've got the understanding of a four year old
I've got the piece of mind of a killer's soul
I've got the rationale of a New York cop
I've got the patience of a chopping block, yeah

Trip like I do
(Oh my God, this is the best)
Trip like I do
(Oh my God, this is the best)

I've got the acumen of a seasoned pro
I've got the legacy of a billion souls
I've got the world down my back, but I don't seem to care
I've got the comprehension of a world unaware, yeah

Trip like I do
(Oh my God, this is the best)
Trip like I do
(Trip like I do)
(Oh my God, this is the best)

(I want you to trip like I do)
Can't you, can't you trip like I do?
Can't you, can't you trip like I do?

Laid out on my back, I can't sleep 'cause I'm slumming
Eyes in my teeth, I can't see 'cause I'm eating
Head full of noise, I can't think 'cause it's crushing
Back on my feet, like a freight train I'm coming

Can everybody feel like I do?
Can everybody feel like I do?
(Oh my God)
Can't you, can't you trip like I do?
Can't you, can't you trip like I do?

(Oh my God)

Can't you trip, can't you think, can't you feel like I do?
Can't you walk, can't you breathe, can't you trip like I do?
Can't you trip, can't you think, can't you feel like I do?
Can't you walk, can't you breathe, can't you trip like I do?
Can't you trip, can't you think, can't you feel like I do?
Can't you walk, can't you breathe, can't you trip like I do?
Can't you trip, can't you think, can't you feel like I do?
Can't you walk, can't you breathe, can't you trip like I do?
(Can't everybody feel like I do?)
Can't you trip, can't you think, can't you feel like I do?
Can't you walk, can't you breathe, can't you trip like I do?
(Can't everybody feel like I do?)
Can't you trip, can't you think, can't you feel like I do?
Can't you walk, can't you breathe, can't you trip like me?",(Can't You) Trip Like I Do,Filter,Antagonistic,1.35788377619238,1997-07-29,120,97,34,-5,17,4:29,0,44,1172,3971,-4.25,-15.09,-5.63,-12.64,-29.88,0.859999999999999,-30.43,-15.45,1.03,-30.31,-29.6,8.13,15.6139088729017,-22.1654676258993,21.0106007067138,-54.5759717314488,44.5661605206074,-18.3817787418655,46.4938271604938,-38.3148148148148,1828,448,524,448,0.2450765864332603,1,0.3949132209437649,0.1054780893563238
64,"
Looking at your watch a third time
Waiting in the station for the bus
Going to a place that's far
So far away and if that's not enough
Going where nobody says hello
They don't talk to anybody they don't know

You'll wind up in some factory
That's full-time filth and nowhere left to go
Walk home to an empty house
Sit around all by yourself
I know it might sound strange but I believe
You'll be coming back before too long

Don't go back to Rockville
Don't go back to Rockville
Don't go back to Rockville
And waste another year

At night, I drink myself to sleep
And pretend I don't care that you're not here with me
'Cause it's so much easier to handle
All my problems if I'm too far out to sea
But something better happen soon
Or it's gonna be too late to bring you back

Don't go back to Rockville
Don't go back to Rockville
Don't go back to Rockville
And waste another year

It's not as though I really need you
If you were here, I'd only bleed you
But everybody else in town only wants to bring you down
And that's not how it ought to be
I know it might sound strange but I believe
You'll be coming back before too long

Don't go back to Rockville
Don't go back to Rockville
Don't go back to Rockville
And waste another year
Don't go back to Rockville
Don't go back to Rockville
Don't go back to Rockville
And waste another year",(Don't Go Back To) Rockville,R.E.M.,Dionysitic,1.64340546133531,1984-03-09,151,81,49,-7,93,4:33,16,38,33,7147,11.75,-0.0900000000000034,25.37,3.36,-14.88,31.86,-14.43,-0.450000000000003,32.03,-14.31,-14.6,39.13,-0.386091127098325,53.8345323741007,5.01060070671377,21.4240282685512,28.5661605206074,57.6182212581345,30.4938271604938,37.6851851851852,1334,524,578,524,0.3928035982008995,1,0.1470033125954733,0.1149821080675738
50,"I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no
When I'm driving in my car
When a man come on the radio
He's telling me more and more
About some useless information
Supposed to fire my imagination
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no
When I'm watchin' my TV
And a man comes on and tells me
How white my shirts can be
But, he can't be a man 'cause he doesn't smoke
The same cigarettes as me
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction
I can't get no girl reaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no
When I'm ridin' 'round the world
And I'm doin' this and I'm signin' that
And I'm tryin' to make some girl, who tells me
Baby, better come back maybe next week
Can't you see I'm on a losing streak?
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no, I can't get no
I can't get no satisfaction, no satisfaction
No satisfaction, no satisfaction
I can't get no
",(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Antagonistic,1.4951782297502,1966-03-28,136,86,72,-8,93,3:43,4,33,169,9236,-0.25,22.91,10.37,-8.64,8.12,16.86,-26.43,22.55,17.03,-26.31,8.4,24.13,4.61390887290168,53.8345323741007,10.0106007067138,21.4240282685512,33.5661605206074,57.6182212581345,35.4938271604938,37.6851851851852,1218,403,460,403,0.3308702791461412,1,0.1824068737019523,0.1487172834563
116,"
Oh I, I just died in your arms tonight
It must have been something you said
I just died in your arms tonight

I keep looking for something I can't get
Broken hearts lie all around me
And I don't see an easy way to get out of this
Her diary, it sits by the bedside table
The curtains are closed, the cats in the cradle
Who would've thought that a boy like me could come to this

Oh I, I just died in your arms tonight
It must've been something you said
I just died in your arms tonight
Oh I, I just died in your arms tonight
It must've been some kind of kiss
I should've walked away, I should've walked away
Is there any just 'cause for feeling like this?
On the surface, I'm a name on a list
I try to be discreet, but then blow it again
I've lost and found, it's my final mistake
She's loving by proxy, no give and all take
'Cause I've been thrilled to fantasy one too many times

Oh I, I just died in your arms tonight
It must have been something you said
I just died in your arms tonight
Oh I, I just died in your arms tonight
It must've been some kind of kiss
I should've walked away, I should've walked away
It was a long hot night
She made it easy, she made it feel right
But now it's over the moment has gone
I followed my hands not my head, I know I was wrong


Oh I, I just died in your arms tonight
It must have been something you said
I just died in your arms tonight
Oh I, I just died in your arms tonight
It must've been some kind of kiss
I should've walked away, I should've walked away",(I Just) Died In Your Arms,Cutting Crew,Stoiostatic,1.60714742260866,1986-01-01,125,73,63,-11,51,4:40,2,80,123,4419,-2.25,13.91,-0.629999999999996,-10.64,-0.880000000000003,5.86,-28.43,13.55,6.03,-28.31,-0.600000000000001,13.13,-8.38609112709833,11.8345323741007,-2.98939929328623,-20.5759717314488,20.5661605206074,15.6182212581345,22.4938271604938,-4.31481481481482,1500,522,582,522,0.348,1,0.123579043484005,0.1268118086156194
1,"Now I've had the time of my life
No, I never felt like this before
Yes I swear, it's the truth
And I owe it all to you
'Cause I've had the time of my life
And I owe it all to you
I've been waiting for so long
Now I've finally found someone to stand by me
We saw the writing on the wall
As we felt this magical fantasy
Now with passion in our eyes
There's no way we could disguise it secretly
So we take each other's hand
'Cause we seem to understand the urgency
Just remember
You're the one thing
I can't get enough of
So I'll tell you something
This could be love, because
I've had the time of my life
No, I never felt this way before
Yes, I swear, it's the truth
And I owe it all to you
Hey, baby
With my body and soul
I want you more than you'll ever know
So we'll just let it go
Don't be afraid to lose control, no
Yes, I know what's on your mind
When you say, ""Stay with me tonight"" (stay with me)
Just remember
You're the one thing
I can't get enough of
So I'll tell you something
This could be love, because
I've had the time of my life
No, I never felt this way before
Yes, I swear (yes, I swear), it's the truth
And I owe it all to you
'Cause I've had the time of my life
And I've searched though every open door
'Til I found the truth
And I owe it all to you
Now I've had the time of my life
No, I never felt this way before (never felt this way)
Yes, I swear, it's the truth
And I owe it all to you
I've had the time of my life
No, I never felt this way before (never felt this way)
Yes, I swear, it's the truth (it's the truth)
And I owe it all to you
'Cause I've had the time of my life
And I've searched though every open door
'Til I found the truth
And I owe it all to you...
","(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Dionysitic,1.63585031517259,1987-09-24,109,67,70,-13,49,4:50,4,71,48,9925,-0.25,20.91,-16.63,-8.64,6.12,-10.14,-26.43,20.55,-9.97,-26.31,6.4,-2.87,-14.3860911270983,9.83453237410072,-8.98939929328623,-22.5759717314488,14.5661605206074,13.6182212581345,16.4938271604938,-6.31481481481482,1691,542,634,542,0.3205204021289178,1,0.6897918228983513,0.1483725965785974
147,"
Sittin' in the mornin' sun
I'll be sittin' when the evenin' come
Watching the ships roll in
And then I watch 'em roll away again, yeah

I'm sittin' on the dock of the bay
Watching the tide roll away
Ooh, I'm just sittin' on the dock of the bay
Wastin' time

I left my home in Georgia
Headed for the 'Frisco bay
'Cause I've had nothing to live for
And look like nothin's gonna come my way

So I'm just gonna sit on the dock of the bay
Watching the tide roll away
Ooh, I'm sittin' on the dock of the bay
Wastin' time

Look like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, yes

Sittin' here resting my bones
And this loneliness won't leave me alone
It's two thousand miles I roamed
Just to make this dock my home

Now, I'm just gonna sit at the dock of the bay
Watching the tide roll away
Ooh-wee, I'm sittin' on the dock of the bay
Wastin' time",(Sittin' On) the Dock of the Bay,Otis Redding,Stoiostatic,1.36850831367663,1968,104,37,77,-11,54,2:44,68,83,129,2965,63.75,27.91,-21.63,55.36,13.12,-15.14,37.57,27.55,-14.97,37.69,13.4,-7.87,-44.386091127098304,14.8345323741007,-38.9893992932862,-17.5759717314488,-15.4338394793926,18.6182212581345,-13.5061728395062,-1.31481481481482,930,405,446,405,0.4354838709677419,1,0.349070101198116,0.0786478403444541
1103,"
Why do birds suddenly appear
Every time you are near?
Just like me, they long to be
Close to you

Why do stars fall down from the sky
Every time you walk by?
Just like me, they long to be
Close to you

On the day that you were born the angels got together
And decided to create a dream come true
So they sprinkled moon dust in your hair of gold
And starlight in your eyes of blue

That is why all the girls in town (Girls in town)
Follow you (Follow you) all around (All around)
Just like me, they long to be
Close to you

On the day that you were born the angels got together
And decided to create a dream come true
So they sprinkled moon dust in your hair of gold
And starlight in your eyes of blue

That is why all the girls in town (Girls in town)
Follow you (Follow you) all around (All around)
Just like me, they long to be
Close to you
Just like me (Just like me), they long to be
Close to you

Wha, close to you
Wha, close to you
Ha, close to you
Wha, close to you
Wha, close to you
Wha, close to you
Wha, close to you
Wha",(They Long To Be) Close To You,Carpenters,Doloristic,1.46625242609325,1970-01-01,89,23,53,-15,21,4:34,73,68,892,9530,68.75,3.91,-36.63,60.36,-10.88,-30.14,42.57,3.55,-29.97,42.69,-10.6,-22.87,-58.386091127098304,-18.1654676258993,-52.9893992932862,-50.5759717314488,-29.4338394793926,-14.3817787418655,-27.5061728395062,-34.3148148148148,1031,311,404,311,0.3016488845780795,1,0.6330492615481553,0.088361975749089
65,"
Oh, baby, baby
Oh, baby, baby

Oh, baby, baby
How was I supposed to know
That something wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby
The reason I breathe is you (Oh, yeah)
Boy, you got me blinded
Oh, pretty, baby
There's nothing that I wouldn't do
It's not the way I planned it

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby (Oh)
Oh, baby, baby (Yeah)

Oh, baby, baby
How was I supposed to know?
Oh, pretty, baby
I shouldn't have let you go
I must confess that my loneliness is killing me now
Don't you know I still believe
That you will be here and give me a sign
Hit me, baby, one more time
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

I must confess (My loneliness)
That my loneliness (Is killing me)
Is killing me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you)
That you will be here (I lose my mind)
And give me a sign
Hit me, baby, one more time",...Baby One More Time,Britney Spears,Dionysitic,1.46493786067956,1999-01-12,93,70,76,-6,91,3:31,20,83,16,2317,15.75,26.91,-32.63,7.36,12.12,-26.14,-10.43,26.55,-25.97,-10.31,12.4,-18.87,-11.3860911270983,51.8345323741007,-5.98939929328623,19.4240282685512,17.5661605206074,55.6182212581345,19.4938271604938,35.6851851851852,1554,450,527,450,0.2895752895752895,1,0.226990857242634,0.1178901859679896
